"","V1","V2"
"1",30,542807553.210477
"2",31,593075756.044988
"3",32,657768311.621885
"4",33,545782921.424842
"5",34,592024814.463829
"6",35,515296288.276833
"7",36,554844140.943136
"8",37,384659271.515681
"9",38,493235414.118939
"10",39,866052222.150846
"11",40,478417992.048492
"12",41,621534769.578767
"13",42,580910700.576698
"14",43,531169408.850786
"15",44,565650805.098403
"16",45,590224603.798692
"17",46,645470087.1998
"18",47,827684155.872662
"19",48,912971589.408238
"20",49,685200453.069032
"21",50,750351463.60587
"22",51,733722436.922596
"23",52,819337443.43483
"24",53,888151368.812013
"25",54,887392562.732503
"26",55,938566392.152457
"27",56,1183781105.99083
"28",57,744777619.381077
"29",58,1055605569.18191
"30",59,1072695080.94226
"31",60,908370586.136976
"32",61,1068174227.08592
"33",62,1093137919.16166
"34",63,977853719.37839
"35",64,1231855626.13757
"36",65,1154682604.93133
"37",66,1088911113.48758
"38",67,959562520.77847
"39",68,1019538532.71378
"40",69,1165502359.78889
"41",70,1407061174.03272
"42",71,1322745985.73782
"43",72,1257908231.32372
"44",73,1547059354.08034
"45",74,1408169422.27533
"46",75,1351672299.29235
"47",76,1201208382.2389
"48",77,1552697699.76198
"49",78,1401198202.45365
"50",79,1351696305.49141
"51",80,1961952167.75377
"52",81,1616580517.72936
"53",82,1287317455.59152
"54",83,1503034140.41301
"55",84,1558932825.70449
"56",85,1911645920.13988
"57",86,1669113972.76439
"58",87,1331162579.49763
"59",88,1568517916.24724
"60",89,1630035708.77565
"61",90,1689962255.63593
"62",91,1816537296.09558
"63",92,1825454325.63195
"64",93,1879394598.93309
"65",94,1457333862.64241
"66",95,1698592747.13455
"67",96,1765317459.11007
"68",97,1873824024.27636
"69",98,1775907563.69247
"70",99,1900105759.52093
"71",100,1850753840.1538
"72",101,1924265563.60897
"73",102,1823990661.26209
"74",103,1651645841.82968
"75",104,1774567971.2498
"76",105,2189079521.14803
"77",106,3691455102.16235
"78",107,1717142368.75008
"79",108,2012808685.27309
"80",109,1968816250.98922
"81",110,1906064607.29729
"82",111,1924583375.22551
"83",112,2417811248.47209
"84",113,2012152591.62518
"85",114,2213232786.85415
"86",115,3806333543.17824
"87",116,3035497705.3308
"88",117,2199249514.82357
"89",118,2357098887.11402
"90",119,1885881312.37553
"91",120,2148877008.56144
"92",121,2241300636.14097
"93",122,2474946333.97719
"94",123,2226897545.52364
"95",124,2642027305.79517
"96",125,3005118418.70033
"97",126,2326249431.56879
"98",127,2380270278.24931
"99",128,2938674550.90124
"100",129,2109552973.10553
