"","V1","V2"
"1",4,623500447.527976
"2",5,614217229.231521
"3",6,425607769.796923
"4",7,412597215.084126
"5",8,326024602.352906
"6",9,248127922.821621
"7",10,234475868.774624
"8",11,299289863.09238
"9",12,237814884.442004
"10",13,251349684.249271
"11",14,257181667.290027
"12",15,254474872.735084
"13",16,236029578.602464
"14",17,254917063.109101
"15",18,222146564.927396
"16",19,190773446.393425
"17",20,228809627.262942
"18",21,186540398.426418
"19",22,226521546.92001
"20",23,220281199.455906
"21",24,230129274.679024
"22",25,275783278.621216
"23",26,251152840.995791
"24",27,243914407.761511
"25",28,258664150.727085
"26",29,228308747.261445
"27",30,215180891.838828
"28",31,278579199.855648
"29",32,332249592.89339
"30",33,299691379.374025
"31",34,285315337.043306
"32",35,264525721.039097
"33",36,323384575.010231
"34",37,279165032.871685
"35",38,293944694.305782
"36",39,298352618.355264
"37",40,275950191.748114
"38",41,248741588.088613
"39",42,279972786.880875
"40",43,331357861.885455
"41",44,326052482.773379
"42",45,281546760.305346
"43",46,409587666.606687
"44",47,355170236.719277
"45",48,327690066.143811
"46",49,254171222.079263
"47",50,328198068.803456
"48",51,353719164.739824
"49",52,314800202.448876
"50",53,368985670.257283
"51",54,363692904.093328
"52",55,372792662.610709
"53",56,395673085.678005
"54",57,319282928.487683
"55",58,324268901.019953
"56",59,326194453.319382
"57",60,386350234.43235
"58",61,314861426.890566
"59",62,366367206.474868
"60",63,372652769.554273
"61",64,320581414.639908
"62",65,358285532.919327
"63",66,424658776.809534
"64",67,337974619.587425
"65",68,346289634.835447
"66",69,322422751.766975
"67",70,339530637.229922
"68",71,302500589.392908
"69",72,409860395.176357
"70",73,329556380.18475
"71",74,395278458.981202
"72",75,386937416.56875
"73",76,352251765.081883
"74",77,361780545.798879
"75",78,400836925.356005
"76",79,408369136.61435
"77",80,382730586.801148
"78",81,374771000.100833
"79",82,350997871.499745
"80",83,340168640.877358
"81",84,459451717.762655
"82",85,363513318.36824
"83",86,499010712.666823
"84",87,458076499.259784
"85",88,410786806.928761
"86",89,386857823.740327
"87",90,388277334.143961
"88",91,312791898.51307
"89",92,367225961.829932
"90",93,445237320.287583
"91",94,374928005.416364
"92",95,363684009.947072
"93",96,403027271.787726
"94",97,440702710.875928
"95",98,398160948.263563
"96",99,353578272.943045
"97",100,418688381.832356
"98",101,410807145.558589
"99",102,499400010.02209
"100",103,467666890.037416
"101",104,418783851.593602
"102",105,444730850.076125
"103",106,442456800.154357
"104",107,411720214.992203
"105",108,519616666.498467
"106",109,444983226.225479
"107",110,421352972.074616
"108",111,382303102.478834
"109",112,452570654.023288
"110",113,515938710.14938
"111",114,464678669.802556
"112",115,430973132.606821
"113",116,452204596.829181
"114",117,398676036.209897
"115",118,378942893.802357
"116",119,398832767.450781
"117",120,323630148.473317
"118",121,472235009.568231
"119",122,340908110.858504
"120",123,383958380.381246
"121",124,494596664.224789
"122",125,451192064.928492
"123",126,412669191.617027
"124",127,498173740.634153
"125",128,515566035.855281
"126",129,505243719.904015
"127",130,373662948.851562
"128",131,442782362.197814
"129",132,431776024.901603
"130",133,490738057.530285
"131",134,489896659.650659
"132",135,410171183.819409
"133",136,384413303.591224
"134",137,435148743.591921
"135",138,493696361.538589
"136",139,468517243.803771
"137",140,441905558.597461
"138",141,440874948.062969
"139",142,437833866.16662
"140",143,492832078.494431
"141",144,388794533.961839
"142",145,422894134.574567
"143",146,358218030.99992
"144",147,493571162.204507
"145",148,435740790.399597
"146",149,394792240.07546
"147",150,424864706.869522
"148",151,456643749.943725
"149",152,470689611.593938
"150",153,421492744.461015
