"","V1","V2"
"1",4,318443691.825602
"2",5,295298119.268246
"3",6,230496698.706082
"4",7,250125027.376976
"5",8,158712372.345537
"6",9,168886611.532596
"7",10,130243638.11709
"8",11,110362353.6839
"9",12,87461625.1341876
"10",13,75159528.9659118
"11",14,69081459.62635
"12",15,51406217.6512657
"13",16,41838349.9280662
"14",17,42284308.3004308
"15",18,32031840.4635784
"16",19,29140056.0115275
"17",20,18627788.2630867
"18",21,29272262.3136329
"19",22,23847751.1037219
"20",23,17912605.5185206
"21",24,17291797.9380007
"22",25,17473896.9900818
"23",26,13920843.5635173
"24",27,14217240.2981214
"25",28,12865085.2502929
"26",29,9920338.07423914
"27",30,11885096.1891397
"28",31,11917322.318212
"29",32,12954886.2391596
"30",33,14894118.7174838
"31",34,11557380.4440692
"32",35,11707100.4023142
"33",36,12059959.2774464
"34",37,10175313.3033495
"35",38,11809544.4455823
"36",39,10292343.5245388
"37",40,11063965.1740369
"38",41,11615349.8574963
"39",42,12952558.7579719
"40",43,11754281.6875539
"41",44,10046810.8031504
"42",45,13098450.1444721
"43",46,11173394.3853478
"44",47,10884906.5378054
"45",48,11600244.1678029
"46",49,13361005.2542735
"47",50,14433511.7568684
"48",51,11793425.5638426
"49",52,11936911.4076441
"50",53,13365678.9716948
"51",54,12265218.486076
"52",55,12006528.7320881
"53",56,15993525.9058803
"54",57,12496687.4503871
"55",58,13881001.1589651
"56",59,14132570.6818385
"57",60,14096999.7450193
"58",61,13715874.2217433
"59",62,13681316.9820908
"60",63,15255597.6542522
"61",64,12482744.5241308
"62",65,12951389.1526135
"63",66,14559586.1310371
"64",67,13836900.0771177
"65",68,14986540.720978
"66",69,13480547.1261675
"67",70,14882539.8796114
"68",71,13985746.1970492
"69",72,15778744.2311928
"70",73,13584895.122692
"71",74,16273456.7195102
"72",75,17784961.4881106
"73",76,16432610.7235165
"74",77,16198681.3332763
"75",78,16763483.2218289
"76",79,16744444.6612657
"77",80,16935874.2353234
"78",81,18361291.0906479
"79",82,18198034.3405963
"80",83,17374076.0339929
"81",84,18922255.8357598
"82",85,16350343.280888
"83",86,16599025.0508447
"84",87,16826613.083726
"85",88,19490340.5326814
"86",89,19170775.8635225
"87",90,18577632.1128343
"88",91,21863331.0856379
"89",92,19671210.0786875
"90",93,18454996.7766235
"91",94,22256816.5148214
"92",95,18393250.9176207
"93",96,18005769.6552488
"94",97,21362617.8297605
"95",98,19892224.9613292
"96",99,20899127.6832702
"97",100,20815821.6342202
"98",101,22886003.2121586
"99",102,24069007.8526345
"100",103,24850800.9625337
"101",104,25212066.9215401
"102",105,20891884.7102557
"103",106,26484440.8526813
"104",107,20699479.9615806
"105",108,27159163.1377986
"106",109,27217994.4987499
"107",110,24344650.5203152
"108",111,23045147.765946
"109",112,22204672.3901845
"110",113,24228280.5165915
"111",114,27546706.2031557
"112",115,26301882.076576
"113",116,24081766.621689
"114",117,25204256.100539
"115",118,24094563.1721932
"116",119,26476243.3851064
"117",120,29019630.2551375
"118",121,29964648.6599376
"119",122,25431252.318915
"120",123,26769772.4961965
"121",124,25900114.8410404
"122",125,23526084.2897149
"123",126,26366020.6279905
"124",127,29332258.0135424
"125",128,27057958.8477159
"126",129,31648532.9440574
"127",130,32579742.9141889
"128",131,29533133.331095
"129",132,30148562.3114711
"130",133,31075319.0448526
"131",134,29036031.4574914
"132",135,28197935.499163
"133",136,25083738.1112908
"134",137,29274845.1127331
"135",138,35776866.4791878
"136",139,31891202.6307054
"137",140,32345694.3711002
"138",141,34235749.1516103
"139",142,36036949.6140271
"140",143,29943806.5233974
"141",144,33542354.1832794
"142",145,35889816.8526184
"143",146,35202104.9299854
"144",147,33617342.0386527
"145",148,34006132.293885
"146",149,42790498.6471228
"147",150,35457762.5870865
"148",151,27352658.2335168
"149",152,34818509.7158704
"150",153,38278017.0575321
