"","V1","V2"
"1",10,166580518.336136
"2",11,320933473.119235
"3",12,291767135.934922
"4",13,89664165.7433081
"5",14,56720804.4988819
"6",15,61437842.0514403
"7",16,69207106.5174995
"8",17,33102056.6155803
"9",18,43178154.8302244
"10",19,89237728.5461411
"11",20,42672920.0921471
"12",21,34071190.5875548
"13",22,15505271.5765842
"14",23,36159072.9379812
"15",24,32266940.0796007
"16",25,30509034.8853575
"17",26,44187727.3168277
"18",27,49066220.3306171
"19",28,36594856.5084239
"20",29,43751341.7406996
"21",30,59816683.7932278
"22",31,39398586.8139376
"23",32,63911134.9038263
"24",33,49811979.4958233
"25",34,49032426.2359027
"26",35,53852938.9096238
"27",36,86033391.5917115
"28",37,70881027.5302574
"29",38,71276586.0758598
"30",39,90469283.2776419
"31",40,90492581.7915524
"32",41,94393501.9587298
"33",42,108930784.545111
"34",43,68887585.7761661
"35",44,119276217.115746
"36",45,106797443.778284
"37",46,146884594.801035
"38",47,123678304.333523
"39",48,144693426.59025
"40",49,110890691.794149
"41",50,127684274.965533
"42",51,121620963.359861
"43",52,156900355.928548
"44",53,121010346.370238
"45",54,135562274.247282
"46",55,134381861.082281
"47",56,149888936.800803
"48",57,157851119.460957
"49",58,158163079.933158
"50",59,141974142.54162
"51",60,198907103.103493
"52",61,136960893.055876
"53",62,139078160.837352
"54",63,186085562.206877
"55",64,233841243.751067
"56",65,181853410.290097
"57",66,215261717.010447
"58",67,176902471.487127
"59",68,229503378.414569
"60",69,167784049.635922
"61",70,194287943.179892
"62",71,231903956.544116
"63",72,217981010.887314
"64",73,299393954.288636
"65",74,268668162.643885
"66",75,192427466.807565
"67",76,187759892.441566
"68",77,224464616.494702
"69",78,283538678.276937
"70",79,260867899.418339
"71",80,211248414.572934
"72",81,246512580.66666
"73",82,239156664.130435
"74",83,237021709.074428
"75",84,246056787.79039
"76",85,242883084.069542
"77",86,256029941.826177
"78",87,270937911.829651
"79",88,257509949.329507
"80",89,251504130.799906
"81",90,272313195.614045
"82",91,299043213.631629
"83",92,251381543.398646
"84",93,259712147.3552
"85",94,347030673.471183
"86",95,286920947.70114
"87",96,301658295.343639
"88",97,282943847.323018
"89",98,257910375.672118
"90",99,231900671.203764
"91",100,248757460.052988
"92",101,238364088.481878
"93",102,300101696.793676
"94",103,298921076.594404
"95",104,261025738.398648
"96",105,272010117.062591
"97",106,304226193.009586
"98",107,301753356.735947
"99",108,280429479.104847
"100",109,313192438.973275
