problem	evaluations	best value
0	400 / 400	1.0438607224529297
1	400 / 400	1.0155618519875798
2	400 / 400	0.99550584861490798
3	400 / 400	1.0900079092023502
4	400 / 400	2.66356612876816
5	400 / 400	1.0003039542719701
6	400 / 400	0.042433042147557422
7	400 / 400	1.9903939402533399
8	400 / 400	0.0032923078655251511
9	400 / 400	1.0323283678908699
10	400 / 400	2.0423752726627704
11	400 / 400	2.9796022269128297
12	400 / 400	0.19406004331012006
13	400 / 400	0.0060352382471151609
14	400 / 400	0.75326216608681995
15	400 / 400	1.08286071475034
16	400 / 400	1.00340512586869
17	400 / 400	0.093192654209662634
18	400 / 400	1.00532092006635
19	400 / 400	0.32005237034833905
20	400 / 400	1.12747289712675
21	400 / 400	0.0081035494303094424
22	400 / 400	1.99049207557692
23	400 / 400	0.29079514519410299
24	400 / 400	1.00484567101166
25	400 / 400	2.85419614939758
26	400 / 400	1.5818872669365003
27	400 / 400	1.52819508245178
28	400 / 400	0.99712328425012198
29	400 / 400	0.60782926708225904
30	400 / 400	0.146891876883256
31	400 / 400	0.034689579976625105
32	400 / 400	0.99499335571026382
33	400 / 400	1.1114971048156002
34	400 / 400	1.1705005227463303
35	400 / 400	0.99815383855880313
36	400 / 400	0.022559434149066211
37	400 / 400	0.0025624135711019803
38	400 / 400	1.4635937581371095
39	400 / 400	1.3189655299967804
40	400 / 400	0.99758341330481304
41	400 / 400	0.00016427742223257307
42	400 / 400	1.0786195605723101
43	400 / 400	2.3338638252790194
44	400 / 400	0.21082113283829804
45	400 / 400	0.18610427298309801
46	400 / 400	1.4473614715119598
47	400 / 400	1.09217644010143
48	400 / 400	0.23721058772355599
49	400 / 400	1.5877621780812601
50	400 / 400	0.40665486094713504
51	400 / 400	0.059847436868746912
52	400 / 400	1.0858740966932199
53	400 / 400	0.9950233307239239
54	400 / 400	4.4213137040096715
55	400 / 400	5.1719246625597393
56	400 / 400	0.99914268127155692
57	400 / 400	0.069240124008537435
58	400 / 400	0.038982718169066309
59	400 / 400	0.073692653387958329
60	400 / 400	0.712830508142833
61	400 / 400	0.000143887256637498
62	400 / 400	0.24698284102914403
63	400 / 400	0.084524431958211549
64	400 / 400	0.37521716013959105
65	400 / 400	0.0016020879020608402
66	400 / 400	0.9968408645754151
67	400 / 400	2.8355831020121503e-05
68	400 / 400	1.5324019319534401
69	400 / 400	0.26438955553405907
70	400 / 400	0.012971871320107901
71	400 / 400	1.0189213596279496
72	400 / 400	0.9313946218345851
73	400 / 400	1.2734290582881196
74	400 / 400	2.1043966728001804
75	400 / 400	0.10044463338393002
76	400 / 400	0.35283660393223609
77	400 / 400	0.85522034956354209
78	400 / 400	0.0017138135796841403
79	400 / 400	0.00016003124730090701
80	400 / 400	1.3204091334621599
81	400 / 400	1.0239545219139401
82	400 / 400	1.0322864113758501
83	400 / 400	2.7238166785953908
84	400 / 400	0.51516715095754884
85	400 / 400	1.1369857363976901
86	400 / 400	2.0608814786362601
87	400 / 400	1.0219244038069497
88	400 / 400	1.1752917505614999
89	400 / 400	0.99519734362275292
90	400 / 400	1.1023877321172701
91	400 / 400	1.4062056409858099
92	400 / 400	0.035287791992654895
93	400 / 400	1.7930267790030401
94	400 / 400	0.19044722276662907
95	400 / 400	1.0080771408479001
96	400 / 400	1.01321596872494
97	400 / 400	0.010336612654562304
98	400 / 400	0.10808689327967301
99	400 / 400	4.5877453316365697
100	1600 / 1600	1.99883523656133
101	1600 / 1600	0.99495969723913913
102	1600 / 1600	2.0547798060787796
103	1600 / 1600	2.3198447195804697
104	1600 / 1600	1.9902382768474898
105	1600 / 1600	0.99496633688293878
106	1600 / 1600	0.0010943098694298201
107	1600 / 1600	2.1720386643755898
108	1600 / 1600	0.99496590162136289
109	1600 / 1600	0.99618798702356792
110	1600 / 1600	4.8473140240599486
111	1600 / 1600	2.9881795973478802
112	1600 / 1600	0.0034444281998560209
113	1600 / 1600	1.98994502311382
114	1600 / 1600	0.99503232089260474
115	1600 / 1600	1.9903466374400398
116	1600 / 1600	0.0010894173415749706
117	1600 / 1600	0.32227284610390705
118	1600 / 1600	1.9899244917488697
119	1600 / 1600	2.6161995344000997
120	1600 / 1600	0.99777975654108519
121	1600 / 1600	0.99507415263551013
122	1600 / 1600	3.0376219563245703
123	1600 / 1600	3.1997658909535098
124	1600 / 1600	0.99563844753531305
125	1600 / 1600	2.0107175256881598
126	1600 / 1600	0.0010556505119083699
127	1600 / 1600	1.1927941272232201
128	1600 / 1600	1.9900162480704398
129	1600 / 1600	0.043594138545223912
130	1600 / 1600	0.32802874102369411
131	1600 / 1600	1.9899307565308597
132	1600 / 1600	5.9759308354365395
133	1600 / 1600	1.1964614436441499
134	1600 / 1600	1.1545260450008599
135	1600 / 1600	1.3696612735911298
136	1600 / 1600	1.9939731158593097
137	1600 / 1600	0.99499392959812405
138	1600 / 1600	1.0386378509839
139	1600 / 1600	0.99570168572908802
140	1600 / 1600	0.99497096584110489
141	1600 / 1600	1.9969042727418698
142	1600 / 1600	2.1439715237141104
