problem	evaluations	best value
0	400 / 400	0.75759524405518919
1	400 / 400	1.2300525237037705
2	400 / 400	0.38740912717406012
3	400 / 400	1.9933252751388897
4	400 / 400	0.00079615615119621517
5	400 / 400	1.6074155746813104
6	400 / 400	0.99822067847886609
7	400 / 400	0.73344668063241503
8	400 / 400	0.027493375684979813
9	400 / 400	0.27468967467132899
10	400 / 400	0.16861088285931605
11	400 / 400	1.7155854986466001
12	400 / 400	0.26588030327462114
13	400 / 400	1.6100923238943801
14	400 / 400	0.73904075422565507
15	400 / 400	1.7597890419545801
16	400 / 400	0.55996645144124091
17	400 / 400	1.99766951484183
18	400 / 400	1.0480371446622703
19	400 / 400	2.4740991545245596
20	400 / 400	1.27845649941761
21	400 / 400	0.032800607533616223
22	400 / 400	0.99848893128827898
23	400 / 400	2.1390138741797795
24	400 / 400	1.0815605981439298
25	400 / 400	1.3962030246169403
26	400 / 400	0.00038197338011158915
27	400 / 400	1.06537050757379
28	400 / 400	1.3338550149514501
29	400 / 400	0.48152316151933405
30	400 / 400	1.2458850786835201
31	400 / 400	0.045215531959883003
32	400 / 400	1.2565973804972699
33	400 / 400	1.7637468833518701
34	400 / 400	1.0116449329540698
35	400 / 400	0.25816183373155299
36	400 / 400	1.3543605142368602
37	400 / 400	0.43555822377810904
38	400 / 400	0.060705137939809417
39	400 / 400	0.0802985662547471
40	400 / 400	0.063931282604052314
41	400 / 400	0.033276782626252603
42	400 / 400	0.12465965621618502
43	400 / 400	0.620251111617243
44	400 / 400	1.7112053032088601
45	400 / 400	1.1854366918793497
46	400 / 400	2.0439950705526306
47	400 / 400	1.2979342268039797
48	400 / 400	0.074494529697684414
49	400 / 400	0.99516505893129192
50	400 / 400	1.1938389018456201
51	400 / 400	0.041884577587939703
52	400 / 400	0.37729032690798903
53	400 / 400	2.0383841111448397
54	400 / 400	1.0214298686091696
55	400 / 400	2.5329183179731194
56	400 / 400	2.0320936482693903
57	400 / 400	0.00076443533440340215
58	400 / 400	1.71454980722758
59	400 / 400	1.1553926578532099
60	400 / 400	0.037455209179988506
61	400 / 400	1.2970527170557999
62	400 / 400	0.22369668253769207
63	400 / 400	1.2995885878661899
64	400 / 400	0.87855939569790598
65	400 / 400	1.36936136361686
66	400 / 400	0.035933582785528308
67	400 / 400	0.99515229830764085
68	400 / 400	0.23135295837813899
69	400 / 400	0.18318136949886801
70	400 / 400	0.44974368555140404
71	400 / 400	0.13447848680086605
72	400 / 400	1.9926941985443196
73	400 / 400	0.041415953433269009
74	400 / 400	0.99579565278433113
75	400 / 400	1.99012564977074
76	400 / 400	0.10006986781766598
77	400 / 400	0.021185445877190307
78	400 / 400	0.42814055881159496
79	400 / 400	0.046848263627911314
80	400 / 400	0.0016814319424547401
81	400 / 400	0.99857020220966297
82	400 / 400	0.050624824982097708
83	400 / 400	0.26558645599271807
84	400 / 400	0.0032773796766925019
85	400 / 400	0.65999836921728106
86	400 / 400	0.013176251679755804
87	400 / 400	1.9978564165291897
88	400 / 400	1.4404500237353601
89	400 / 400	1.0755634488169299
90	400 / 400	2.0326513841545193
91	400 / 400	0.13096265877273403
92	400 / 400	0.33805626925185117
93	400 / 400	0.00018190085826930204
94	400 / 400	1.1847460689201401
95	400 / 400	0.99508249216254197
96	400 / 400	0.00038221495838897113
97	400 / 400	0.73657318647093795
98	400 / 400	0.41067311030574805
99	400 / 400	0.99292344221066697
100	1600 / 1600	2.0061064900999899
101	1600 / 1600	1.9902505030914202
102	1600 / 1600	0.015626566649260102
103	1600 / 1600	3.1075236207305905
104	1600 / 1600	4.9423814674140703
105	1600 / 1600	1.6175505414990001
106	1600 / 1600	5.1620578465321287
107	1600 / 1600	5.1493353320699393
108	1600 / 1600	2.9562849894519099
109	1600 / 1600	0.017413879564713904
110	1600 / 1600	0.99514345821543104
111	1600 / 1600	0.00017295715934295705
112	1600 / 1600	1.9910474474720499
113	1600 / 1600	2.51856908251303
114	1600 / 1600	1.0871383691334799
115	1600 / 1600	0.0008399113212291811
116	1600 / 1600	0.00012435074464178802
117	1600 / 1600	1.9902996407224396
118	1600 / 1600	2.2360028924875599
119	1600 / 1600	0.10505985101927699
120	1600 / 1600	2.2268505317353102
121	1600 / 1600	5.327066006477799
122	1600 / 1600	1.9899206942501295
123	1600 / 1600	2.01446502699749
124	1600 / 1600	2.37228760706653
125	1600 / 1600	2.4245831742570902
126	1600 / 1600	2.9848860357721998
127	1600 / 1600	0.9950619394909519
128	1600 / 1600	1.1088297999425398
129	1600 / 1600	1.2242578663525903
130	1600 / 1600	3.6499858844377302
131	1600 / 1600	1.99045959820884
132	1600 / 1600	2.9426446043564995
133	1600 / 1600	2.98454186315554
134	1600 / 1600	1.9906097725247498
135	1600 / 1600	2.3261723924861099e-07
136	1600 / 1600	1.99034209529804
137	1600 / 1600	1.9899188781798398
138	1600 / 1600	0.99679998049346408
139	1600 / 1600	1.9911189449008302
140	1600 / 1600	3.7334064715043502
141	1600 / 1600	2.0242336828349003
