"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28"
"1",9.1465246896405e-06,9081.37285090086,6064.72755374403,103.128330724291,0.000719360695484283,43.4473331224895,0.0681842384997253,21.1435362318858,13.5878477321954,9.71035784687047e-05,4.58327486629179,2.74270982080759,2.35909053541585,11784.8662047444,12377.1074182452,3.2818666222249,399.032284820172,345.926797736199,20.4330912113326,22.9823143723435,200.047645640633,12332.3367900785,12068.7704061098,242.874281634117,263.84199128297,325.73748413273,584.384700298556,400.020947940935
"2",7.61460501053079e-06,10766.1812519247,6537.88921235225,85.3813402294843,0.000510418081944408,43.4473326878726,0.0708425837281084,21.1486137702275,4.46528176485072,0.000131414282520836,3.38699234380886,2.04125924973499,1.27943977854798,12083.2045767162,12219.2761622629,3.13719257671534,363.474933566216,329.519052679718,24.0887079408732,22.7401367414441,200.060512861977,12363.3277843169,12787.8729085092,236.598016231667,274.572646040926,326.417739508987,596.426122744765,3282.84909398514
"3",6.58984185974987e-06,16046.0687308877,4037.90787926504,94.8806950014318,0.000530751012547626,43.4473337474367,0.0621762320919288,21.1688663473648,8.49935602962137,0.0001340091611155,2.48641700495307,1.76087284587248,1.40234487494368,12049.0241841446,12717.3270350692,3.36016582396482,376.008371722329,359.742053165318,22.9187262915165,22.8615372577308,200.047260565105,12501.0926086777,12656.6554770045,236.878486848878,272.137320750644,331.141866106355,730.073916970887,400.021922128558
"4",7.5549708071776e-06,6220.21562080363,3886.80017108328,96.1899195273631,0.000729223229313902,43.4473340532198,0.0641858293163295,21.1437606649246,8.20906773184561,0.000183828655281104,1.21588812116028,2.756155786541,1.41776132290829,12630.3666505665,11912.4477465179,3.17285096770286,384.880591561636,380.111977567343,23.1245737150663,22.7311902905545,200.047486068463,12641.4784811615,12089.0869941546,247.386865797419,271.781692081716,331.641138019853,578.226118670384,400.017455220734
"5",5.00244300383201e-06,0.0340625009018822,4046.67429452556,83.2574578918028,0.000814287116099877,43.4473331145116,0.0685300591956093,21.1772516401713,12.7346262444422,0.000163466678088753,2.52666101448642,2.18681893874623,1.33737957978011,11977.0258513839,12342.4498298758,3.7335497837758,411.114555509772,398.222130480456,24.5705355807237,22.9401464203457,200.042118593109,12019.6525260894,11625.733460588,236.609360586453,270.03039082952,321.333462102179,554.467570491991,400.024660788862
"6",8.1184168720938e-06,9707.26330229705,3640.53783536053,95.2190112104555,0.000447709781042249,43.4473331375733,0.0745570217349041,21.1826105648709,11.2257341646069,0.000119099838855163,1.29668599609926,3.82527968699867,1.1585527866165,12285.3085423712,12235.8187625921,3.49778644849752,335.4845879642,337.329180384847,25.6157670966837,23.2182993549352,1245.21375214061,12541.5117764783,12126.5453649761,234.969551198419,266.94616864948,327.309092007934,505.019854836171,400.022386872682
"7",9.3500268576463e-06,13995.8317623727,2814.70600359372,95.4814347718436,0.00051978132705699,43.4473334745541,0.0695965336761901,21.1155988080574,7.17369959372911,0.000124740372257293,2.31729345945274,1.54489003446741,0.375783516570777,12538.2670311906,12485.9963974618,2.81680719975122,400.241796156181,391.873570116119,25.1386846864625,22.682154740986,200.056657728929,12632.6098615073,11918.8671127578,235.8525211612,273.137385795868,322.165264070895,636.868976054819,3285.06340204055
"8",6.38809115116601e-06,14715.0879381419,3872.68287549211,86.2732643846518,0.00073020073762109,43.4473339912017,0.0794252125693902,21.1385311754902,8.52901580707157,0.000106249446275797,2.20441977952919,4.97913957165258,2.14015834084515,12011.092167379,12889.6183740087,3.78909578004902,341.575893940795,402.385704168448,18.3606828223592,22.5680945188595,1122.18576702755,12749.273006733,12524.0355319302,237.620271438882,260.0523189831,319.087160584448,600.699155037578,400.020014735989
"9",7.62555964683997e-06,5969.39311192185,3688.74935131125,88.778199490879,0.000641555986817366,43.4473325624881,0.0596990981957788,21.0428219820544,10.1209511562196,0.000116754998657598,3.307954643095,1.80795872414598,1.92212204560551,12445.9753398403,12641.4723903365,3.32884005902807,387.098312804984,385.044226290883,25.601661205091,22.8382899827154,1122.18576758304,12414.0340774618,12432.8164720674,234.517424976607,271.840697888524,325.48648559573,613.90500154215,400.020678426543
"10",7.58748024054512e-06,0.0365563596058109,3480.7047347541,57.0995831024898,0.000517511566613393,43.4473337214906,0.0681919289186226,21.1287375761239,15.2985815802032,0.000159145636473568,2.41195550387147,0.789293775973874,2.50290085188041,12853.7484206746,12262.8139138603,3.64398794541756,354.946271770916,394.937676497735,25.5257787548749,22.596051240345,1242.40330479802,11884.7723744034,12284.4501088702,238.162983957894,272.128097485751,334.341533135904,541.098860500196,400.015417327815
