"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",102639075794.554,102299104911.882,101493793920.652,103024415095.599,102248403453.003,104184201329.386,100511116682.857,102764936664.295,102940194566.761,104672420639.874,101170484955.488,104379391092.874,103863010776.232,103994625296.766,102655714838.773,103929371308.013,104245238644.519,103041545249.859,102358733960.519,101947972448.131,103099454086.938,103154730281.474,102662144723.337,100974442595.002,103004738411.273,103707571256.207,104309884792.534,102596310243.811,102545243745.09,103706295412.328,102734985042.125,102787766445.438,102213141875.724,103453957724.71,103920458791.768,102586017742.606,102227192925.83,102940441639.523,100957804010.372,101347493340.104,102972304463.577,102304024328.705,104221370316.201,102404446126.385,102826711826.373,103210801503.477,103626993271.528,104381429270.241,103843219680.676,101897712788.349,99599613423.0553
"2",89548747082.4115,88793565552.2092,88612449908.7948,89556792918.4313,87697036045.7324,90599502539.0904,82895702869.2333,88444626067.0129,89877000699.6857,91789351184.3097,85628386958.4576,91634018346.1883,91752196448.0505,91022894003.7052,89746616908.8688,90514750757.5949,92064797081.4544,89459025842.4165,88989128780.2315,85844740801.4487,89217611562.4827,88605064835.9411,87503328119.8173,87080816973.6306,89742153042.9926,90142885582.257,91214701825.3293,88499268105.6774,89374943110.0878,91008205482.6443,89657067828.5411,88681023983.7034,86685078242.7637,90675135571.8564,91907570040.5532,89774653641.696,86266612119.2289,89031351033.202,85120178834.6392,85470698293.2842,90465130081.9534,89505406073.9252,91513350528.3224,86632788486.746,88962270048.9298,88372549855.9327,90230785550.9738,90581347654.5075,91797619483.3298,87435883342.9914,83661438826.1841
"3",73854012057.8426,73429460286.8897,72364709314.6988,76187883508.0177,70705076916.9788,77444782273.1728,60124971867.6202,73291675780.6345,74359375721.1116,76437619949.6579,65968285447.6482,76146284664.5861,76833173084.1238,76198533583.1517,73340850672.701,75793462593.9927,77378969458.5936,72406838339.9963,73782407986.9362,69541137295.7563,71782132904.9496,72903287584.1687,71122457863.791,69278434297.0098,73048069525.9927,74792703978.6296,75609901819.3494,71978739752.0827,74473586668.901,74166356678.2314,75328520723.7748,70891952139.4273,69749730650.5454,75917878316.2882,76589541855.6282,73075243350.7355,66783906798.6835,72645344834.5667,65031988449.4491,65207143951.2592,72690235074.4875,74463218152.5632,77799104685.2069,68567027561.5373,72035247410.5169,71338165592.6526,76276433637.9709,76610678619.8915,77519063281.5141,68203047034.7246,64760673085.514
"4",32711025860.1263,34741398349.0104,28664264804.8028,41391078476.7435,30029417588.3501,39543026180.3969,14053952994.0813,32838449002.4728,36282951717.2715,43435915769.4658,23699738765.848,39852109386.4954,41612825463.8929,39530503360.4365,36236865727.2168,38436805998.5601,40692429383.2868,33502518487.3572,34613547832.7934,27632812663.0442,32630283214.8742,34345681230.9306,33614235225.5737,26598241007.1805,31563266381.2077,33919111206.8622,39676818939.352,33485185799.1489,36836054477.7634,36422277874.1969,40135228356.1635,30994921822.5802,28765943544.6163,38936526047.443,39423222975.2859,34092432421.0374,23808298670.7948,31953220160.7396,21515565014.9747,21869590094.4318,34756282022.7009,37655991012.1222,39022732947.2881,25279671479.4995,35546168802.4104,29393922483.7232,40386786706.8382,39649427578.0231,42533021240.0524,30524925005.9847,20164258161.5776
"5",824131859.659276,1297916183.56429,383300734.931679,1794176857.48881,990497451.484095,1204568109.10691,17370272.3193976,235055714.760491,1544781250.39728,2452067695.89439,196748618.218612,1345332722.6175,2528416164.92003,3486563131.86794,1311478460.09678,1268911394.26401,1605453840.32572,1274222057.02456,855254890.662349,366721613.939165,999568347.672004,856442482.577514,1203379721.139,575871484.212837,1689006245.63091,1421243284.78003,1715397005.47216,1967353951.3288,1680354633.61157,1320984163.24346,1700621826.23967,1199156915.64688,1002425651.59253,3148102012.69502,1484459277.3247,564119094.18653,670385816.073015,583394714.437419,89881675.8245893,87513194.1090089,1276420066.52412,1127744830.61224,2179097851.12466,293019600.519576,2245112301.96882,944031155.475166,1246109896.62409,1861945302.6952,3147232313.39423,1217992273.98345,67461846.639677
"6",466327.715923612,428590.601942796,545067.540057795,577395.88551002,410056.288985963,522745.108117489,273089.367631897,466241.460284073,606868.962531398,686810.128177475,370724.569307985,421256.388044465,433834.515862844,615463.8723539,414064.890524256,500013.03769806,603159.346368952,546310.248179916,518252.84127046,334505.154151088,611646.544074417,455846.287107541,598296.112363288,320087.695048823,385313.248376772,487954.901035881,584855.849369167,454160.220442624,511335.245927429,461867.965186963,565707.146959329,412539.962542194,332561.930936041,637757.318439428,572066.682605833,302809.566258752,492458.922360895,518289.18756114,251144.160959024,359142.639856626,346686.809770845,203535.829141042,756092.542296224,454986.885897827,931083.171073715,466367.321185883,770771.543367105,478054.084936095,750221.686602199,390176.362406998,201701.249928773
"7",93452.3439588565,98179.515981063,63895.263922223,108774.539207906,61755.1153544749,103172.569592947,46338.6313866159,89871.102883961,98346.577657853,139382.540223504,83832.4299925631,134429.646687419,160561.508338318,129596.229914953,83795.5426626936,74804.9491396696,109042.697558509,104959.989925585,92831.9063605109,63577.4546132439,85976.2605550295,117293.951492849,107849.512498994,69552.7425459044,106034.828861371,100377.158847281,121155.396981899,103986.970264492,99031.4761025777,106817.274980758,85406.07914871,95091.1758515579,74203.7247257794,118130.53771074,142575.383339735,88471.9309182828,55943.0847877825,107423.694605889,62338.9789087332,53179.2050754971,79915.2993473094,82398.4151947103,133047.068178627,66382.0652137646,134635.990564288,95816.2113031262,120700.1519949,158481.383266346,169107.270647802,70066.7195222679,43405.4685624103
"8",48473.2485095985,36041.8427582983,34397.8310136439,53243.9313273893,34171.7998183583,47558.6174008579,28237.3186819911,30486.6338334295,42673.8609799472,52611.2184230824,44749.0067666203,38777.5301095835,53092.2452481487,42785.5070898745,35627.665375952,52676.0007000814,42681.9600751935,28503.0262299743,36450.8029102292,33347.2187842861,39823.3052107319,45968.9474315793,44204.8719730889,36213.2875879512,38040.6704572086,33699.3893531661,40443.0986372376,42997.5795809276,38162.924967291,43396.3739574595,42240.1058440584,33583.0834145625,31912.8924135263,40348.3460128571,52599.3836737655,44997.8538636015,34567.5019133335,53319.5387127192,31387.2835218268,32649.4416279293,35469.5703341638,39865.4432552149,55688.0433568269,32496.1797289052,52106.5044358405,34230.0275981941,45446.4776580776,47861.8799519989,52612.6182817162,32169.9990047925,30179.14052843
"9",32375.2389082595,25663.0584013194,13925.7524765376,38361.3879908456,18826.5578956918,36417.7657738323,6547.16561963336,18809.4733976341,27986.1035387096,38650.7900231887,12814.933686711,27755.8311756539,39344.2740417556,30574.2246714621,25988.2680902997,37798.422594895,26496.9473806771,21953.6008226998,20375.0289340951,12456.2449365967,24924.2325344708,23472.6543683178,27629.7019291062,16888.9376270781,26009.8118239901,24585.3877014189,30297.8339647803,34198.1436856969,26741.6290028692,29595.1096629376,28783.4248425272,23396.9821047872,14689.9843850922,26605.1604265745,39458.4905450734,17495.8812849423,11881.7643528566,14275.6422326011,13640.8459963641,10355.3283476663,25498.6307281282,29500.1547918571,38156.546200501,13220.7994831008,35629.2509033594,21978.5490541871,30448.914552891,28816.6090458619,34696.4410962625,20434.8633213502,12537.5323053915
"10",7818.34670684137,9469.66225371891,6180.76112956603,10808.8278575714,7030.43975044458,9469.93712116571,3125.50711654153,7818.50574585421,14733.0782725171,12250.5788700285,5246.20829070973,8064.61528711204,15784.1558637753,10809.8397302109,8489.82058556959,14614.7257845891,9902.86506421549,9126.68823612965,7702.81664197035,6149.17761622649,7944.13232408983,8086.48677911773,9164.0056448155,6537.26455157285,7534.70601132736,7617.29429990823,9406.34830478015,10374.7599500864,9622.06133995487,9651.98447775557,13104.3646737241,9509.25678173928,6768.69906704987,9836.70832397526,13409.8239067482,9160.86983965592,7501.66946012927,6377.77729227997,5462.30862533532,5898.35337136948,8539.36373575301,8369.91477749565,11462.9482749897,6342.94224184866,13068.8975473508,7887.76344960368,9373.31518726013,11626.4190078767,14412.0074194538,6803.93454622628,5694.90902747806
