"","V1","V2"
"1","Reinitialization","0.45722235037806"
"2","Lamarckian projection","0.570328591567346"
"3","Lamarckian reflection","0.575580674099705"
"4","Lamarckian wrapping","0.147620146097655"
"5","Scaled mutant","0.569676790977829"
"6","Substitution penalty","0.573821991541715"
"7","Resampling","0.525218890170447"
"8","Rand base","0.576802896321927"
"9","Midpoint base","0.576586184800718"
"10","Midpoint target","0.577356785851596"
"11","Scaled to base","0.238429065743945"
"12","Conservatism","0.5419917980264"
