"","V1","V2"
"1","Reinitialization","0.570115340253749"
"2","Lamarckian projection","0.618901960784314"
"3","Darwinian projection","0.610865948993977"
"4","Lamarckian reflection","0.624862873253877"
"5","Darwinian reflection","0.610725362040241"
"6","Lamarckian wrapping","0.310896321927464"
"7","Darwinian wrapping","0.610808150711265"
"8","Scaled mutant","0.610345764449571"
"9","Quadratic penalty","0.611041394335512"
"10","Substitution penalty","0.629083685761886"
"11","Resampling","0.615944892989876"
"12","Rand base","0.627036011790337"
"13","Midpoint base","0.620515570934256"
"14","Midpoint target","0.625296937075484"
"15","Scaled to base","0.339368704344483"
"16","Conservatism","0.626877611175189"
