"","V1","V2"
"1","Reinitialization","0.686556452646418"
"2","Lamarckian projection","0.797116493656286"
"3","Lamarckian reflection","0.801409714212482"
"4","Lamarckian wrapping","0.193399974368832"
"5","Scaled mutant","0.759156734589261"
"6","Substitution penalty","0.808073817762399"
"7","Resampling","0.785044213763937"
"8","Rand base","0.80158913238498"
"9","Midpoint base","0.798820966295015"
"10","Midpoint target","0.80243496091247"
"11","Scaled to base","0.312892477252339"
"12","Conservatism","0.801320005126233"
