"","CMADE","IPOP","BIPOP","NIPOP"
"1",4.17787982858535e-10,0e+00,0e+00,0e+00
"2",1.80348609890144e-06,0e+00,0e+00,0e+00
"3",1.52038750653161e-05,1.732e+00,8.2e-02,0e+00
"4",6.20814841799895e-10,0e+00,0e+00,0e+00
"5",1.28386987434365e-06,0e+00,0e+00,0e+00
"6",1.65046160703362e-01,0e+00,0e+00,0e+00
"7",8.47835540242819e-04,1.6835e+01,9.426e+00,4.055e+00
"8",2.09537262514416e+01,2.0931e+01,2.0935e+01,2.0921e+01
"9",4.67759445972053e+00,2.4463e+01,6.489e+00,2.823e+00
"10",4.80334691411711e-10,0e+00,0e+00,0e+00
"11",3.17996723439465e+00,2.29e+00,3.082e+00,1.032e+00
"12",2.08746314847073e+00,1.853e+00,2.41e+00,6.56e-01
"13",2.79896499447281e+00,2.414e+00,2.391e+00,9.31e-01
"14",6.80780182457959e+02,2.87008e+02,6.69207e+02,7.16645e+02
"15",5.51911249430096e+02,3.37708e+02,6.09778e+02,6.70256e+02
"16",7.64422961127522e-01,2.528e+00,7.75e-01,2.484e+00
"17",3.23987952805088e+01,3.4073e+01,3.6343e+01,3.4248e+01
"18",3.21992941492092e+01,8.165e+01,5.4364e+01,5.3961e+01
"19",2.69723216350866e+00,2.484e+00,2.395e+00,2.408e+00
"20",1.0403740617644e+01,1.4603e+01,1.4237e+01,1.3365e+01
"21",2.91904124463594e+02,2.54902e+02,2e+02,2.41176e+02
"22",4.37478165549679e+02,5.02379e+02,8.38581e+02,5.72759e+02
"23",7.02425419784662e+02,5.76071e+02,7.16942e+02,6.67436e+02
"24",2.02976257856939e+02,2.85725e+02,1.80398e+02,2.90623e+02
"25",2.44515066051684e+02,2.86874e+02,2.31191e+02,2.78962e+02
"26",2.8774078015497e+02,3.1451e+02,1.63826e+02,2.51038e+02
"27",3.17800589790262e+02,1.141729e+03,5.03581e+02,8.70294e+02
"28",3.00000000001111e+02,3e+02,2.92157e+02,3e+02
