"","IPOP","BIPOP","NIPOP","CMADE"
"1","0.00000","0.00000","0.00000","0.00000"
"2","0.00000","0.00000","0.00000","0.00000"
"3","0.00000","0.00000","2.00000","3.00000"
"4","0.00000","0.00000","0.00000","0.00000"
"5","1.00000","1.00000","1.00000","0.00000"
"6","1.00000","1.00000","1.00000","0.00000"
"7","1.00000","0.00000","2.00000","3.00000"
"8","2.00000","1.00000","3.00000","0.00000"
"9","0.00000","1.00000","3.00000","2.00000"
"10","0.00000","0.00000","0.00000","0.00000"
"11","1.00000","0.00000","3.00000","2.00000"
"12","1.00000","0.00000","3.00000","2.00000"
"13","0.00000","1.00000","3.00000","2.00000"
"14","0.00000","0.00000","2.00000","3.00000"
"15","1.00000","1.00000","1.00000","0.00000"
"16","1.00000","3.00000","0.00000","2.00000"
"17","1.00000","0.00000","2.00000","3.00000"
"18","0.00000","2.00000","1.00000","3.00000"
"19","1.00000","3.00000","1.00000","0.00000"
"20","0.00000","1.00000","2.00000","3.00000"
"21","0.00000","3.00000","2.00000","0.00000"
"22","0.00000","0.00000","3.00000","2.00000"
"23","0.00000","1.00000","3.00000","1.00000"
"24","0.00000","2.00000","0.00000","3.00000"
"25","0.00000","3.00000","1.00000","2.00000"
"26","0.00000","3.00000","2.00000","1.00000"
"27","0.00000","2.00000","0.00000","3.00000"
"28","0.00000","3.00000","1.00000","2.00000"
"RANK","0.37931","1.10345","1.44828","1.44828"
