"","CMADE","IPOP","BIPOP","NIPOP"
"1",1.24113427433718e-09,0e+00,0e+00,0e+00
"2",9.65401231513235e-10,0e+00,0e+00,0e+00
"3",1.74471217660649e-09,6.506587e+03,8.858325e+03,1.8773e+01
"4",2.17059128903728e-09,0e+00,0e+00,0e+00
"5",8.6123756337733e-06,0e+00,0e+00,0e+00
"6",4.34473315376292e+01,0e+00,0e+00,0e+00
"7",5.83518788308615e-09,2.2928e+01,4.5355e+01,1.1714e+01
"8",2.11254446366484e+01,2.1123e+01,2.1128e+01,2.1111e+01
"9",8.88507470566802e+00,5.9601e+01,1.3711e+01,6.882e+00
"10",1.75582266798213e-09,0e+00,0e+00,0e+00
"11",6.10161638640635e+00,8.506e+00,9.275e+00,1.991e+00
"12",4.06374843855906e+00,6.117e+00,8.116e+00,1.366e+00
"13",3.17667650825309e+00,1.0804e+01,7.636e+00,1.481e+00
"14",8.96617901626181e+02,1.625565e+03,1.697035e+03,1.257493e+03
"15",1.75401761844861e+03,1.357597e+03,1.305709e+03,1.352059e+03
"16",3.12560234278695e+00,3.315e+00,1.562e+00,3.37e+00
"17",5.38436290923488e+01,5.8214e+01,6.1619e+01,5.7737e+01
"18",5.31269293081427e+01,2.28534e+02,1.38883e+02,1.9366e+02
"19",4.82410068955204e+00,4.413e+00,4.347e+00,4.467e+00
"20",1.70102420274122e+01,2.5e+01,2.3527e+01,2.2985e+01
"21",7.11561223369377e+02,5.16822e+02,2.24958e+02,3.65287e+02
"22",1.79260151048476e+03,1.825791e+03,1.765215e+03,1.017509e+03
"23",1.75238630817477e+03,2.986475e+03,1.922464e+03,1.186484e+03
"24",2.25442738331277e+02,3.75023e+02,2.46799e+02,3.70404e+02
"25",3.57194875480077e+02,3.73787e+02,2.59932e+02,3.65032e+02
"26",3.12491012282121e+02,3.82372e+02,1.77402e+02,2.88263e+02
"27",6.14278946231809e+02,1.93622e+03,7.36518e+02,1.898799e+03
"28",4.0000000005961e+02,1.034771e+03,4e+02,5.7159e+02
