"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25"
"1",7.22957338439301e-09,8.51247250466258e-09,9.81100356511888e-09,9.66338120633736e-13,0.000215148260394926,3.04112290905323e-11,4696.28864940131,20.9501476997046,2.9848771788665,6.96471444509103,0.00538426901474054,2372.44552763482,1.20071079759526,11.7042733436886,300.010550434667,23.4022538498326,16.6615345636865,900.605876319658,906.258658563771,904.341455135964,500.000046811916,859.711133285739,534.164867477152,200.000000008794,1594.48306448643
"2",8.40026359583135e-09,8.27679969006567e-09,7.19921899872134e-09,1.08002495835535e-12,0.000208274526812602,7.04477542967652e-09,4696.28862648971,21.0168369441988,7.95967246577777,3.97983624138999,0.00496955529573029,3.00963165500434e-09,2.35970553920505,10.6738647524173,300.010437795768,103.941529981625,539.006341530671,906.389621973774,908.455317585841,903.967344143575,500.000046801981,846.661855185133,534.164867434363,200.000000005083,1597.88950384213
"3",3.94180688090273e-09,6.07468564339797e-09,1.17365175356099e-08,9.66338120633736e-13,0.000187349229236133,0.060063971981549,4696.28862624096,20.9358339308323,3.97983622840587,4.97479529278826,0.00543144870306378,1335.75163738822,1.79563620125884,11.2612440018568,300.010391973454,14.1171156431778,23.7775487453312,909.154836659536,904.526144327222,903.275614900643,500.000046805835,817.842104555255,534.16486739754,200.000000008808,1596.7884687454
"4",8.77867023518775e-09,8.08256572781829e-09,1.17331637738971e-08,1.13686837721616e-12,0.00020681692785729,4.546757281787e-08,4696.28862669488,20.983050265487,1.98991812123,5.96975435129502,0.0049398153760194,885.32843968258,1.69855427439327,11.8450021805451,301.989047459758,26.271176594262,20.3809607599965,909.350946502402,904.325890857613,906.39071956955,500.000046805994,882.725145361323,534.164867495241,200.000000008365,1597.25589006749
"5",9.91252591120428e-09,7.03772684573778e-09,8.42840108816745e-09,9.66338120633736e-13,0.000210128637263551,1.0850271792151e-08,4696.28865465732,20.8851754651176,4.97479528570568,5.96975435353841,0.0053236296567718,9016.23469293736,2.51965028446132,11.0192038176313,301.474961946356,19.2455397898815,20.861945215411,903.546621524592,903.6716974697,906.040848958501,500.000046813863,864.915117772522,534.164867398044,200.000000010034,1592.64876045744
"6",5.33344746145303e-09,1.04479340734542e-08,1.08926769826212e-08,1.19371179607697e-12,0.000206372042157454,3.83900702949319,4696.28862800457,20.9781070635537,3.97983622896709,5.96975435201227,0.00547771439497069,2060.20526780725,2.01715372574513,11.0831399046945,300.011236758953,18.5853441317538,538.63232287648,800.000000009638,800.000000007006,903.724472372336,500.000046807271,881.584824015825,534.164867395131,200.00000000784,1592.72741738394
"7",7.44381623007939e-09,7.45535544410814e-09,9.34426225285279e-09,1.13686837721616e-12,0.000194805499631912,0.462433474907868,4696.28862637078,20.9076948199705,5.96975434516889,3.97983623616841,0.00519228531653937,1747.55150110122,3.02447190476616,11.7310048250162,300.011643892937,19.9101704093994,537.506134522617,903.748889063725,901.945664434578,900.754989118841,500.00004680652,883.539571996768,534.165144893322,200.000000005241,1598.33464961748
"8",7.71450459069456e-09,1.40171891871432e-08,1.0628923519107e-08,8.5265128291212e-13,0.000204072819542489,0.113279610014729,4696.28862640428,20.9056552856726,4.97479528651598,4.97491429433836,0.00498940856030572,674.204038613412,1.83608034762668,11.1805318020807,300.009677395452,19.4885026620054,539.589782666272,906.9895045734,903.300498742442,906.12831874178,500.000046807912,850.677893302549,534.164867407189,200.00000000644,1596.06883682471
"9",4.73005457024556e-09,8.64162075231434e-09,6.91215973347425e-09,9.66338120633736e-13,0.00019961364887422,4.35952699717745e-07,4696.28865919123,20.9708419520087,6.96471340000699,2.98487718067673,0.00502979584570085,1553.42842095209,1.45083015325116,11.8295699599087,300.010444300293,18.3133404941266,538.68274111963,904.918554462566,907.055262443285,903.389718655953,500.000046808148,886.486054080789,534.16486741034,200.000000009657,1594.63062815115
"10",7.0504597715626e-09,7.32438820705283e-09,6.78323885949794e-09,1.76214598468505e-12,0.000205629221454728,1.96402538676921e-08,4696.28862639122,20.9307589592345,3.97983622850677,5.96975435545153,0.0055399608008031,43.2237847075278,0.898138638819205,11.6748401905076,300.010091464601,17.5837381983556,13.8420082454919,908.319510794958,906.197407170867,906.267257597914,500.000046808046,784.04978676221,534.164867391322,200.000000008323,1595.78645658206
"11",1.02101580523595e-08,6.95712287779315e-09,5.81457015869091e-09,1.36424205265939e-12,0.000207848264835775,0.00483877353525486,4696.28862679169,21.0016015868981,6.96471340111856,4.97479529689224,0.00552969670272319,4923.33157641941,1.77837208337385,11.8302382510797,300.009525878792,15.5561954010437,14.863462906199,908.486836556086,906.329837780775,903.607855362933,500.000046809605,871.801346543452,534.164985637184,200.000000005058,1608.51751141767
"12",5.05883690493647e-09,1.11485860543326e-08,7.75366970628966e-09,1.02318153949454e-12,0.000206689226615708,0.000299657903724437,4696.28863561726,20.9538963769567,5.96975435299845,2.98487718076734,0.00522839437985567,880.112590744466,1.58837945392716,11.4871026080609,300.009758384542,19.7989740290922,538.337905501789,906.505020875344,900.006838053631,903.318902964802,500.000046807931,889.328862433149,534.164867387025,200.000000008071,1596.72684605786
