"","V1","V2"
"1","Reinitialization","0.715133855399745"
"2","Lamarckian projection","0.712760948892801"
"3","Darwinian projection","0.5700735884309"
"4","Lamarckian reflection","0.715711231172896"
"5","Darwinian reflection","0.430561794721328"
"6","Lamarckian wrapping","0.709906446238626"
"7","Darwinian wrapping","0.455159621468126"
"8","Scaled mutant","0.712763646910433"
"9","Quadratic penalty","0.467132074708108"
"10","Substitution penalty","0.703637602271731"
"11","Resampling","0.718745151999568"
"12","Rand base","0.716211713443547"
"13","Midpoint target","0.716485562233149"
"14","Scaled to base","0.712469562988594"
"15","Conservatism","0.71747438569511"
