"","V1","V2"
"1","Reinitialization","0.945021145713187"
"2","Lamarckian projection","0.926054081763424"
"3","Darwinian projection","0.701396898628733"
"4","Lamarckian reflection","0.937844418813277"
"5","Darwinian reflection","0.644495706779444"
"6","Lamarckian wrapping","0.93041138023837"
"7","Darwinian wrapping","0.641035499166987"
"8","Scaled mutant","0.928489042675894"
"9","Quadratic penalty","0.664744329104191"
"10","Substitution penalty","0.936562860438293"
"11","Resampling","0.932846341150839"
"12","Rand base","0.937716262975779"
"13","Midpoint target","0.938357042163271"
"14","Scaled to base","0.925669614250929"
"15","Conservatism","0.9439958990132"
