"","V1","V2"
"1","Reinitialization","0.999359220812508"
"2","Lamarckian projection","0.999359220812508"
"3","Darwinian projection","0.906830706138665"
"4","Lamarckian reflection","0.999359220812508"
"5","Darwinian reflection","0.782006920415225"
"6","Lamarckian wrapping","0.999359220812508"
"7","Darwinian wrapping","0.678585159554018"
"8","Scaled mutant","0.999359220812508"
"9","Quadratic penalty","0.806484685377419"
"10","Substitution penalty","1"
"11","Resampling","0.999359220812508"
"12","Rand base","1"
"13","Midpoint target","0.999359220812508"
"14","Scaled to base","1"
"15","Conservatism","0.999359220812508"
