"","V1","V2"
"1","Reinitialization","0.584341380170919"
"2","Lamarckian projection","0.585695785021955"
"3","Darwinian projection","0.515214256325165"
"4","Lamarckian reflection","0.588729975650391"
"5","Darwinian reflection","0.457348118469954"
"6","Lamarckian wrapping","0.576976736342972"
"7","Darwinian wrapping","0.472291898527557"
"8","Scaled mutant","0.585929838051492"
"9","Quadratic penalty","0.525761751553046"
"10","Substitution penalty","0.563019351531462"
"11","Resampling","0.5888265646816"
"12","Rand base","0.589529128472855"
"13","Midpoint target","0.589051714252953"
"14","Scaled to base","0.58650100838409"
"15","Conservatism","0.589376825377554"
