"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"1",3.78281299617811e-08,0,1.64845914696343e-12,58.5615573268215,4.97479528546694,3.74052319784823e-07,35.4403613008565,6.97022943964305,2.27373675443232e-13,31.277797965864,62.964012431918,1664.29826226344,35.5135467990706,22.1065890712298,14.2455196989149,272.597050602331,121.487428425725,24.1045472514427,9.10688980006876,21.4258393369773,208.63045591265,100.000002363222,355.546625612139,430.599338538781,386.707108885251,658.516014976936,524.837935584199,466.64002120344,481.105704631958,2262.78068612851
"2",4.68300243028352e-08,0,1.98951966012828e-12,58.5615573263411,6.96471339965325,3.3455819448136e-07,35.9407313384002,9.95467750688192,4.54747350886464e-13,247.921036049676,1.98991811418659,1268.43385212197,51.7904503930436,22.1491283461692,36.948562646839,27.8538115961508,27.30552313214,30.5118247089886,10.9423879278131,153.378126983491,211.275223793936,100.000002154299,357.498274236427,426.780348222996,386.701209165021,952.836013368406,519.777350058102,300.00012962111,440.580992100215,2079.91790564915
"3",3.4418803807057e-08,0,1.59161572810262e-12,58.5615573315629,5.96975434256012,3.9017254493956e-07,35.6004543625548,5.97044078039585,2.27373675443232e-13,148.989918760957,8.95462647602062,1315.6686026527,4570262.10814248,22.1704139132896,19.246747507239,59.4724204393212,83.61850770821,24.1018346832334,16.0184197320295,27.0797183966713,208.460444970872,100.544932005844,355.169548366673,431.237151911492,386.712248262065,930.386312886627,506.228685827339,413.975165773683,455.659722855134,2047.24179334776
"4",4.32944062822571e-08,0,1.02318153949454e-12,58.5615573284478,7.04936228773602,3.93178424928919e-07,35.3561082688981,3.98155340737719,2.27373675443232e-13,23.5562040193527,0.994959057093411,993.104538310094,40.7580407475111,22.0808654380453,21.289726109344,14.8936023093822,45.3046427080928,28.6156304483952,12.9648792504202,80.1069080112775,205.13267721125,100.000002602468,354.896530006131,431.469649404785,386.732297796755,826.132464657118,501.760730431047,413.975165773673,432.094796412134,2305.94755766454
"5",4.3439314367788e-08,0,1.64845914696343e-12,58.5615573291894,6.96471339965336,4.06182607548544e-07,36.5668300014013,7.96143459880409,2.27373675443232e-13,24.6113073991146,62.9640124317386,1330.45025445829,38.7878455174734,20.1822078729788,17.063920277373,14.6832160790973,36.4537031047471,23.507615579515,10.4217073634147,22.6242226384443,218.947900993296,100.000002829825,363.561525310939,426.095221339877,386.691308591265,900.701189496072,502.750733004861,300.000000703671,423.514024789369,2037.89761401018
"6",3.46479112067755e-08,0,1.36424205265939e-12,58.5615573305589,6.72402139803427,3.69129452337802e-07,40.7772040730057,2.98487717128023,2.27373675443232e-13,29.166210037869,63.9589714890074,788.064628532016,22.0121618912731,24.1176117446396,41.9832727745209,7.10358587986298,26.3038340778583,23.426948445448,10.786317614625,22.3782428060877,208.542758805799,719.344579081844,357.574246611679,429.712287561977,386.702048252954,896.969566270735,508.255105996559,300.000000480747,476.235674527444,4300194.18417463
"7",3.61154377515049e-08,0,1.70530256582424e-12,58.5615573318786,6.96471339965353,4.00889348384226e-07,37.7395240367841,6.97057113641938,3.41060513164848e-13,147.891795718993,64.9539255077539,1571.67356037839,51.8288152868706,23.0827464381621,12.0899738352152,31.5384412238266,29.7550665570325,24.3367120175349,10.9529482941582,69.1712417372878,206.367936093159,100.000002540873,357.222077052367,424.772474351697,386.694523446129,930.0787828565,512.093594457958,300.000000473447,414.506449564123,2210.20250981779
"8",3.46267938766687e-08,6.00959587457981e+22,2.1600499167107e-12,58.5615573300832,4.17234271947166,3.35572963194863e-07,37.0739424717162,3.98976815565072,3.41060513164848e-13,752.999643235102,65.9488896029804,1713.93745082757,72.0715262477506,1.98991822986727,14.1196746137618,18.2700691560094,148.036904844734,22.537041645056,19.8586068415632,63.1219197039327,203.055976962424,100.000002233671,358.120011521636,426.316972843455,386.699902967536,755.231161107436,505.11893433093,300.000000504882,330.372603121304,2020.03753383194
"9",4.25421546879079e-08,0,1.70530256582424e-12,58.5615573328417,5.99057622299955,4.03870217269287e-07,34.9168855652711,6.96471339965331,3.41060513164848e-13,548.433448298574,4.97479528546637,1084.1019490783,22.8840179805395,21.1137324680969,34.9436421766825,35.1241402904845,85.9713717812601,37.1786586054529,10.0815115728888,21.5385912888228,208.861251698928,100.000002344913,353.252122729901,434.253817095109,386.692847879086,1047.10961140491,514.932527200766,300.000000399074,437.644154169346,5198571.35385651
"10",3.87218506148201e-08,0,1.64845914696343e-12,58.5615573306146,3.97983622837364,3.76565594706335e-07,36.6044047039875,5.96975434256001,2.27373675443232e-13,140.324460717473,9.95637544728038,1310.7181302378,44.9847058728733,22.1579238235195,11.9088083697652,26.8307621588242,21.8865574694219,20.4158016779163,7.17152446093428,23.4111878887193,206.564925006409,100.000002295306,361.075773479245,430.913495069537,386.705963349009,934.843003185589,509.130255300218,300.000000590036,471.399866945062,2220.35399794677
"11",3.81443925334679e-08,0,1.59161572810262e-12,58.561557327787,10.0728835267488,3.28544274452724e-07,36.1465520194014,7.95967245674672,2.27373675443232e-13,56.2938133266834,63.9589714886031,1834.29876078013,5885.36971148241,21.1786719356373,24.9782227806038,140.108409600268,28.0729424620592,34.6639891705966,5.87704401823294,71.298028479302,209.594496542699,100.000002118864,366.438389111761,427.223746520733,386.691308590894,1190.79615800067,509.737689911371,300.000000434783,436.087796478844,2087.66692869732
"12",3.8313842765092e-08,0,1.19371179607697e-12,58.5615573237721,8.9546315138399,4.06029357691295e-07,37.9359625712981,2.98553328732771,2.27373675443232e-13,493.636941970233,1.98991811418659,1630.39736645206,37.4530008106469,23.0974316641868,27.5502369588269,18.2378084158236,49.4317413184856,43.4333116847281,14.7025688312804,107.719654355532,207.083202790686,100.000002340404,363.788775156776,428.118759137324,386.705688306073,787.585645014844,515.449529008972,300.000000550022,507.62441701701,2025.19839614572
"13",4.63257805449757e-08,0,1.64845914696343e-12,58.5615573306243,9.84926987005588,3.80996539206535e-07,33.9815479694696,7.95967245674672,4.54747350886464e-13,159.756125754358,10.1066066805699,1340.28111876179,37.2495708000918,21.1387351834865,26.9672792397748,34.8078192451833,127.086802587067,24.3436100249191,6.45353685311693,48.2626435003604,210.010880881897,100.000001883024,355.773375937283,424.678975067924,386.705963348619,876.755930093891,511.286974358994,413.975165773684,417.369754420871,2094.2725541983
"14",4.06932088026224e-08,0,1.53477230924182e-12,58.5615573278761,8.95463151383996,3.75611193703662e-07,34.6396074926553,4.97479528546683,2.27373675443232e-13,20.7512010110822,10.9445445902072,1475.55313257028,108.846452445139,21.1262545175109,15.0938823405997,35.2755831226359,29.6448699426437,43.3657855378067,14.1506413900456,20.3803949850519,209.426546839339,100.000002183737,356.622865390682,426.623664953421,386.692567902214,851.151426557495,505.684352035039,466.640021203196,426.372968947413,2370.85348368485
"15",4.08724929457094e-08,0,1.93267624126747e-12,58.5615573288253,5.96975434256018,4.34098637924762e-07,34.5553828948459,2.98487717128023,3.41060513164848e-13,18.5785365109477,63.9589714889735,690.417821776685,113.021801721963,23.0814789301473,13.5058261913507,279.168515573736,21.7557727823828,22.2311738524611,8.92104243104723,20.5044307124144,205.117452539413,100.000002168999,355.693333739685,432.186702254175,386.694273903687,826.993099329809,509.97059951451,413.975165773692,421.792894392042,2006.67116441015
"16",4.1389654370505e-08,0,1.59161572810262e-12,58.5615573275973,6.98844756059884,4.15650447394e-07,35.1628976610965,5.98397228268561,2.27373675443232e-13,161.866332511911,9.9495855331138,1751.69845096943,5.9697543615473,22.1167084615163,14.3642908339623,27.6106367539874,36.7217068452858,23.4824093324821,7.27742106340838,22.410318774469,209.399878453184,100.00000173032,355.615552253805,428.273966689807,386.727119255249,875.316382552515,513.951788761789,300.000000445913,539.877333991008,4704693.84145652
