"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",22603.6815250209,22832.678772766,22692.8899810535,22557.5630163179,22723.8258388797,22508.7342333744,22801.9584471525,22569.6013625004,22565.1695759472,22891.6197738688,22439.6792981778,22356.3462464339,22563.4326672435,22740.0209031089,22969.383442875,22760.493404373,23286.9088370261,22599.054573165,22448.8311112524,22542.0562941439,22993.6474105575,22785.6036670214,22984.4948671566,22867.5472495319,22443.0955268202,22380.3708000444,22486.7957024776,22828.8528656373,22918.8144829298,22640.4468239359,22340.7692678308,22750.445435286,22860.1973253161,22642.4272098126,22526.4137534336,22406.3251397656,22508.7720245171,22757.6679932685,22826.848679523,22769.0474435428,22788.6486672492,22666.2919047314,22901.2304229743,22784.1828290253,22403.5115620353,22432.2973843335,22486.1763414541,22715.8894788842,22620.5413063123,22803.6814120383,22831.0883764401
"2",22284.0065611171,22326.2138710393,22175.2592289341,22148.3368016226,22414.702153349,22284.2190959265,22334.9054266344,22189.493585934,22178.9485169938,22335.3233356681,22102.2656712053,22215.7389029676,22177.0537495131,22358.2374076361,22365.8767047788,22554.0151565806,22493.011722151,22368.0112853267,22305.2018810911,22305.2403901081,22432.7952980096,22390.7249038204,22480.1708393549,22301.1020659062,22225.0772094028,22215.8757037358,22209.4577069461,22410.5957884564,22253.0804998234,22294.5047794151,22254.2322782539,22312.7947782389,22260.1371769846,22353.8380903913,22063.5250861782,22090.5546354002,22327.9623430427,22300.8580433117,22391.1312875837,22459.7806789616,22261.1548761389,22277.3971150631,22405.1595349062,22350.8356069888,22230.1509513359,22198.3226480506,22126.8427886022,22337.1804301406,22156.2059103107,22361.8294490832,22379.1577549448
"3",22249.3866219385,22226.9452296856,22147.3668273214,22135.1751036708,22371.8250555248,22274.4038674435,22284.0952904593,22180.3116810361,22170.2038870293,22305.4826279788,22089.3426162502,22205.5794822147,22151.1109899975,22304.514824985,22329.8259620357,22378.5741605226,22381.6051050025,22287.8196808511,22292.2946682889,22300.1352877333,22419.9024862876,22370.9891361347,22299.0688742593,22284.6586819758,22210.0049873934,22211.0174571086,22167.2250416125,22400.9737876621,22203.9634887308,22269.2056336055,22246.5995510478,22296.2722417763,22249.0409580222,22308.9281598531,22054.3347665916,22023.0672412159,22264.2608411086,22264.3452612357,22348.419577689,22418.1901936984,22221.6230923477,22172.130820574,22369.3367273247,22311.6040578909,22225.0449305118,22193.4512430036,22117.3917631501,22215.818852333,22133.9317187044,22348.86843092,22276.1026290749
"4",22243.6265955312,22198.7488275912,22145.6684975568,22124.4714247794,22370.4088614522,22274.0750165281,22281.0743123841,22168.2248349945,22166.5062992226,22298.7422318613,22088.3130550699,22200.4584631555,22140.832251694,22218.6337132769,22327.740315868,22369.4926399862,22358.6646692601,22277.5884602297,22279.970724969,22296.4014544488,22408.574977541,22367.9537433892,22285.1769761745,22280.0925553112,22202.816557864,22202.6449177533,22166.339968574,22399.5093277753,22201.7371777437,22261.057680767,22243.8324514077,22293.6292039132,22244.7804096143,22300.7289298256,22053.860536837,22007.4005435078,22237.0905775533,22257.2017015125,22346.695374651,22413.8164638853,22215.9650668907,22168.4064456767,22364.9109426956,22288.8587063235,22217.1721484229,22190.6711374016,22111.9156254438,22208.3325774499,22131.6498181879,22335.2170718308,22265.2153765159
"5",22242.1138525409,22189.6210404002,22144.4248857791,22122.7502663891,22370.0916882749,22274.001472949,22280.6392276328,22164.9099326305,22166.0240914811,22298.3836665722,22087.9317740386,22200.0441123916,22138.9093061127,22217.4563445252,22327.6611891752,22368.2926390327,22358.2563317403,22276.9890424746,22277.2998291199,22295.8164859702,22403.5181308578,22366.8177609621,22283.7519667048,22280.0014912624,22202.3571768774,22201.6604186626,22165.762286368,22399.0164248747,22201.1853144538,22260.4777175729,22243.2768839626,22293.3847547005,22244.2037394403,22299.9979096818,22053.8182403,22003.4788313937,22236.2021545125,22255.229486551,22346.2757794537,22413.7272651398,22215.3859136285,22168.1258822153,22364.2040083499,22287.6614207331,22214.638652724,22182.2961131816,22111.1164839065,22208.0186614812,22131.0256297675,22326.9844482838,22262.1184852497
"6",22242.0222396081,22189.5695303186,22144.3876434513,22122.7497717751,22370.0889858285,22274.0008347032,22280.6354296243,22164.815668997,22165.9301217889,22298.3828056143,22087.9295177665,22200.0226154013,22138.9092388041,22217.4531296475,22327.6608882645,22368.2922875354,22358.1779999614,22276.9091865243,22277.2065323608,22295.8163054637,22403.4795547109,22366.8171654324,22283.7501722476,22280.0011337066,22202.3571222207,22201.6592630706,22165.7498074522,22399.0028093145,22201.1790369319,22260.4769223499,22243.2768770385,22293.3841868396,22244.2013137526,22299.9978168778,22053.8162804026,22003.478562143,22236.2012915167,22255.2063862781,22346.2732139521,22413.7271859424,22215.3852295198,22168.0889417412,22364.1133826283,22287.65830153,22214.6378766392,22182.2924118889,22111.024030447,22208.0009550458,22131.0220352973,22326.9088560633,22262.0883840303
"7",22242.0222396081,22189.5695303186,22144.3876434513,22122.7497717751,22370.0889858285,22274.0008347032,22280.6354296243,22164.815668997,22165.9301217889,22298.3828056143,22087.9295177665,22200.0226154013,22138.9092388041,22217.4531296475,22327.6608882645,22368.2922875354,22358.1779999614,22276.9091865243,22277.2065323608,22295.8163054637,22403.4795547109,22366.8171654324,22283.7501722476,22280.0011337066,22202.3571222207,22201.6592630706,22165.7498074522,22399.0028093145,22201.1790369319,22260.4769223499,22243.2768770385,22293.3841868396,22244.2013137526,22299.9978168778,22053.8162804026,22003.478562143,22236.2012915167,22255.2063862781,22346.2732139521,22413.7271859424,22215.3852295198,22168.0889417412,22364.1133826283,22287.65830153,22214.6378766392,22182.2924118889,22111.024030447,22208.0009550458,22131.0220352973,22326.9088560633,22262.0883840303
"8",22242.0222396081,22189.5695303186,22144.3876434513,22122.7497717751,22370.0889858285,22274.0008347032,22280.6354296243,22164.815668997,22165.9301217889,22298.3828056143,22087.9295177665,22200.0226154013,22138.9092388041,22217.4531296475,22327.6608882645,22368.2922875354,22358.1779999614,22276.9091865243,22277.2065323608,22295.8163054637,22403.4795547109,22366.8171654324,22283.7501722476,22280.0011337066,22202.3571222207,22201.6592630706,22165.7498074522,22399.0028093145,22201.1790369319,22260.4769223499,22243.2768770385,22293.3841868396,22244.2013137526,22299.9978168778,22053.8162804026,22003.478562143,22236.2012915167,22255.2063862781,22346.2732139521,22413.7271859424,22215.3852295198,22168.0889417412,22364.1133826283,22287.65830153,22214.6378766392,22182.2924118889,22111.024030447,22208.0009550458,22131.0220352973,22326.9088560633,22262.0883840303
"9",22242.0222396081,22189.5695303186,22144.3876434513,22122.7497717751,22370.0889858285,22274.0008347032,22280.6354296243,22164.815668997,22165.9301217889,22298.3828056143,22087.9295177665,22200.0226154013,22138.9092388041,22217.4531296475,22327.6608882645,22368.2922875354,22358.1779999614,22276.9091865243,22277.2065323608,22295.8163054637,22403.4795547109,22366.8171654324,22283.7501722476,22280.0011337066,22202.3571222207,22201.6592630706,22165.7498074522,22399.0028093145,22201.1790369319,22260.4769223499,22243.2768770385,22293.3841868396,22244.2013137526,22299.9978168778,22053.8162804026,22003.478562143,22236.2012915167,22255.2063862781,22346.2732139521,22413.7271859424,22215.3852295198,22168.0889417412,22364.1133826283,22287.65830153,22214.6378766392,22182.2924118889,22111.024030447,22208.0009550458,22131.0220352973,22326.9088560633,22262.0883840303
"10",22242.0222396081,22189.5695303186,22144.3876434513,22122.7497717751,22370.0889858285,22274.0008347032,22280.6354296243,22164.815668997,22165.9301217889,22298.3828056143,22087.9295177665,22200.0226154013,22138.9092388041,22217.4531296475,22327.6608882645,22368.2922875354,22358.1779999614,22276.9091865243,22277.2065323608,22295.8163054637,22403.4795547109,22366.8171654324,22283.7501722476,22280.0011337066,22202.3571222207,22201.6592630706,22165.7498074522,22399.0028093145,22201.1790369319,22260.4769223499,22243.2768770385,22293.3841868396,22244.2013137526,22299.9978168778,22053.8162804026,22003.478562143,22236.2012915167,22255.2063862781,22346.2732139521,22413.7271859424,22215.3852295198,22168.0889417412,22364.1133826283,22287.65830153,22214.6378766392,22182.2924118889,22111.024030447,22208.0009550458,22131.0220352973,22326.9088560633,22262.0883840303
