"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",19746.946167497,20121.0295620382,19393.6007988946,20133.9124899327,20348.5888119091,19103.2427606592,16567.8721437009,15290.7410945858,19117.7913181066,19970.0559349585,18985.7060205424,17162.8987779274,17200.8836554056,20224.4544345839,21715.0670220444,21381.0399766926,21102.3461212764,19999.9341728714,19419.6789730244,19847.1022853684,21791.9389014365,21435.4865783505,20195.3638341289,21306.1291084855,20779.4711765188,19063.870721269,19261.6134753867,20298.5200428051,17811.9746508536,18209.1730461166,18042.9328858234,19322.9243039124,18525.5002388028,18860.6599521456,20778.513419715,20733.4196788633,20311.4857351756,19592.1837763591,19474.6522495527,20820.0262610249,20305.0532926624,17076.0985150781,18532.471150348,19628.8433937353,19741.4967484148,20760.6523823008,20108.5964561018,21055.0115369748,19773.3590027436,17644.1922374747,18549.8186278924
"2",8545.07568821069,7776.2340213047,8746.17256370033,8748.05215984243,7853.09389796205,7810.63113165477,7270.41788706731,9349.95834540304,8177.27737497394,9897.05059690801,6992.8962535324,7988.53884707475,8138.7553437691,8959.25182127541,8717.28926623658,10335.2928265126,8492.383152562,9464.38832983679,8852.31939920732,7252.48472668037,7702.70769142101,9518.51754092857,7174.80840844877,8737.23513517987,8603.51938358385,8310.41312827547,8104.15994426323,8296.78749427215,8669.28863696745,11659.9259423991,9086.97660013136,7168.38634806996,7624.59062193727,9281.82192857682,9722.54033973917,7057.57518346296,10094.1041733299,8018.83336812152,10396.9352540946,8402.32666187464,6553.2708623219,7311.28537967852,8658.10455990044,6810.14896734409,8375.44064033617,8952.3785655455,8955.03662333196,6920.61018013698,10944.4048431503,7231.12839030094,7048.02332485146
"3",3983.41313675089,3507.20020948145,4107.76514716682,3804.93849614075,4056.74309870369,3180.28974267361,3697.6515520056,3899.23883744145,3609.591809903,4696.15443794942,3289.25120538117,3925.65400456404,3432.78373630424,3681.41914213911,4324.57438135272,4544.45279986599,4288.68395914224,3883.59559652277,3804.0057284426,3222.1841301482,3481.73930640238,3775.61581110301,3098.31895043282,3739.62964590072,3421.12801818779,4009.08964865083,3052.59396950992,3079.5398962355,3019.38270943643,5135.77982562725,4210.64380944579,3210.33488724627,3096.32260102161,3669.29491239863,3755.26301394319,3152.07571347443,4788.65167530102,3552.13311504983,4021.6210763378,3864.19257190588,3217.11252513409,3796.05247122037,3838.46849545247,3402.97157904146,4273.64261280354,3845.8386560758,3572.16328335721,3373.056650921,3809.64519304721,3032.18426388783,3277.6905680729
"4",1415.85825258268,1544.38382576952,1416.92776479268,1370.53727530765,1492.88624951691,1307.55975128451,1371.19188482829,1491.03302003213,1277.18815573595,1543.90886995023,1232.10822886821,1479.22726085544,1325.77673457371,1386.09596139198,1377.97846481545,1622.67294238053,1400.49400719792,1554.30732916038,1266.02843455333,1316.13663911007,1432.67088768489,1408.14116412315,1311.08562372337,1231.18976823798,1290.65387211713,1453.29795095175,1317.52025468229,1373.02878799012,1330.68593002977,1593.71811786248,1357.38079231917,1389.35341980366,1467.98975496027,1440.24366051429,1434.45672888764,1298.83256193945,1418.95626739358,1458.598031649,1604.58393111829,1521.52698212988,1358.09609782897,1408.5260613161,1424.45566453649,1334.53639101916,1467.78070512762,1410.59756785905,1329.12380864368,1316.60643687287,1515.82595966273,1285.87347333297,1358.64952309222
"5",868.754904907413,840.526508534551,873.283788273307,898.027161418714,920.85742021123,850.612340360521,877.175256998513,886.695032234939,851.801647436627,928.872327280835,828.102686396999,861.499796729253,886.459655174875,834.092349540617,809.524966938901,842.830023603947,851.881437613196,827.788250919072,829.290961966039,864.171231900161,865.991795437139,849.131157616457,812.85930287766,891.75953082535,888.814417847764,928.599757778102,879.102190870232,868.599487575894,912.502365927637,845.580037930775,840.29040551927,914.207915637394,893.699245377815,867.705946704133,803.909785300559,878.299321912322,885.683475575059,840.238574707059,934.409216991863,827.462850491305,899.487614602323,914.439857596863,916.589440374716,811.16171909502,851.851765069742,913.903318623516,870.925762121174,907.875721952461,913.890537690026,806.654941647816,856.63422877964
"6",767.392964189452,701.278298517973,718.969342316186,769.719962505492,727.905057908139,764.612926084293,709.860980399215,736.225798419958,716.985730845167,776.768662758986,700.522368032878,749.728866989603,767.298659042967,706.283242429771,578.786190781572,708.137597132622,728.918993566676,699.355956748696,724.542993097836,763.163054812,641.993120653773,706.700529533392,637.989836726239,698.725164336058,767.749427503742,740.690376941548,777.401073411881,649.772754411777,767.032982373556,703.115303496176,720.957027523891,768.063047562542,771.424585244275,722.774112423064,717.634885267287,765.803689288252,674.799939186209,702.801577806092,815.249282660406,724.454671281196,725.140806851987,734.709983642857,768.947677394233,699.346202646825,711.358326517101,704.677651250508,762.919284112498,763.055720275592,711.682421216573,716.001214914234,762.775373500174
"7",761.599559722962,697.78719218692,697.764252072103,767.803847293011,697.779297446937,761.576858597407,697.747585015252,704.430230322428,697.807551488432,761.623242905554,697.841686580633,640.214357504059,766.040819273891,704.441592710454,577.007842213739,697.804285688139,714.348338262968,697.777259757012,714.416020058443,761.599165726976,637.186115324372,697.798939952856,637.133601426498,697.756551124901,761.559789878341,704.483484709819,773.467828601637,637.213709870185,761.584319406893,697.792093015367,714.348202564799,761.554861111422,761.605870882764,697.77343264435,714.322659157843,761.546548948433,637.154751575781,697.798085032443,773.391090849393,714.314300401776,714.339905123173,697.836507675552,761.654034387407,697.775083128743,697.776717861555,697.795555855748,761.577094472013,761.538443966426,697.819532513329,714.329338206458,761.574941288783
"8",761.597651146202,697.782340540872,697.740645044799,767.801802482646,697.76543598172,761.575149982024,697.744153150769,704.383831912019,697.799123973846,761.617241852725,697.840875905904,637.171768187063,766.035075113594,704.438689266527,576.994794902969,697.79635137228,714.340960505578,697.776689623599,714.402147520924,761.598615136483,637.183299354566,697.785634260021,637.133328132077,697.756337798368,761.556124429754,704.452007051184,773.465698756819,637.20216766946,761.581306300959,697.782479703778,714.341809641027,761.553649671666,761.583243269206,697.769405182898,714.322024412706,761.545019346833,637.129972367647,697.78687110867,773.380211113818,714.312517365162,714.328655226184,697.805122454699,761.645983026689,697.766054997564,697.750925505782,697.768689564034,761.57671602797,761.537770601573,697.78466360632,714.328845053004,761.574311255978
"9",761.597651131594,697.782340531792,697.740434486215,767.80180246896,697.765434726489,761.575149977414,697.744152998566,704.38381571845,697.799123892811,761.617241811884,697.840875792727,637.171254420863,766.035075093035,704.438688744696,576.994794811367,697.796351221767,714.34096036872,697.776689605208,714.399594161085,761.598615130164,637.183299218898,697.785633182324,637.133327981314,697.756337797365,761.553262818947,704.451999422155,773.465698746852,637.202167493207,761.581306217578,697.782479486043,714.341809574879,761.553649652992,761.583243189378,697.769405081761,714.322024398788,761.545019334373,637.129969306863,697.786871032881,773.380210655362,714.312517320875,714.328654961961,697.805120749221,761.645982944698,697.766054969261,697.750925231033,697.768689439248,761.576716027313,761.537770597859,697.784658694305,714.328845047439,761.574311251527
"10",761.597651131594,697.782340531792,697.740434486189,767.80180246896,697.765434726489,761.575149977414,697.744152998566,704.383815718113,697.799123892811,761.617241811884,697.840875792727,637.171254415104,766.035075093035,704.438688744694,576.994794811367,697.796351221767,714.34096036872,697.776689605208,714.399594160831,761.598615130164,637.183299218873,697.785633182324,637.133327981313,697.756337797365,761.55326281779,704.451999421171,773.465698746852,637.202167493207,761.581306217578,697.782479486043,714.341809574879,761.553649652991,761.583243189378,697.769405081761,714.322024398788,761.545019334373,637.129969306584,697.786871032881,773.380210655362,714.312517320875,714.328654961961,697.80512074922,761.645982944698,697.76605496926,697.750925231033,697.768689439248,761.576716027313,761.537770597859,697.784658694304,714.328845047439,761.574311251527
